update_frequency,resolution,scan-obstacle_max_range,scan-raytrace_max_range,vx-z_voxels,vx-publish_voxel_map,vx-unknown_threshold,vx-mark_threshold,inf-inflation_radius,inf-cost_scaling_factor,rolling_window,width,height,track_unknown_space,transform_tolerance,subscribe_to_updates,inflate_unknknown,inflate_around_unknown,plugin_combination
10.0,0.1,2.0,1.0,15,true,15,2,0.75,1.0,true,2,2,true,1.0,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,3.0,3.0,IGNORED,false,5,1,0.25,3.0,false,1,1,false,0.5,false,false,false,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,1.0,2.0,10,true,10,0,0.5,2.0,false,3,3,true,0.1,false,true,false,"['obstacle_layer', 'static_layer', 'inflation_layer']"
10.0,0.2,2.0,3.0,IGNORED,false,15,0,0.75,3.0,true,3,1,false,0.1,true,false,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
10.0,0.2,3.0,1.0,IGNORED,false,10,2,0.5,2.0,true,1,3,false,1.0,false,false,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.2,1.0,1.0,5,true,5,1,0.75,1.0,false,3,2,false,0.5,true,true,false,"['static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.1,2.0,3.0,IGNORED,false,10,1,0.5,1.0,false,2,3,true,0.5,true,false,false,"['obstacle_layer', 'static_layer', 'inflation_layer']"
1.0,0.1,3.0,1.0,10,true,5,0,0.25,1.0,true,1,2,true,0.1,false,false,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.1,1.0,1.0,IGNORED,false,15,2,0.25,2.0,false,2,1,true,1.0,true,true,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
1.0,0.2,2.0,1.0,5,true,10,0,0.25,3.0,false,2,3,false,0.1,false,true,false,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.2,3.0,3.0,15,true,15,1,0.75,2.0,true,3,1,true,0.5,false,true,false,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.2,1.0,2.0,IGNORED,false,5,0,0.5,3.0,true,2,2,false,1.0,true,false,false,"['static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.1,2.0,2.0,IGNORED,false,5,2,0.75,2.0,true,1,3,true,0.5,true,true,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.1,3.0,1.0,15,true,10,1,0.25,3.0,true,3,2,false,1.0,true,true,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
5.0,0.1,1.0,3.0,10,true,15,2,0.5,3.0,false,1,2,false,0.5,false,false,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.2,2.0,1.0,IGNORED,false,5,1,0.5,2.0,false,2,1,true,0.1,false,false,false,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.2,3.0,2.0,5,true,15,0,0.5,1.0,false,1,1,true,1.0,true,true,false,"['obstacle_layer', 'static_layer', 'inflation_layer']"
5.0,0.2,1.0,3.0,IGNORED,false,10,2,0.25,1.0,true,3,1,true,0.1,false,false,false,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.2,2.0,2.0,15,true,5,2,0.25,3.0,false,3,3,true,1.0,false,false,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
1.0,0.1,2.0,2.0,IGNORED,false,15,1,0.25,1.0,true,3,3,false,1.0,false,true,false,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,3.0,2.0,IGNORED,false,15,0,0.75,1.0,false,2,3,false,0.1,false,false,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,1.0,3.0,15,true,5,0,0.75,2.0,true,1,1,false,1.0,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.1,3.0,2.0,5,true,10,2,0.75,3.0,true,2,1,false,0.5,true,false,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.1,1.0,3.0,5,true,10,1,0.5,2.0,true,1,2,true,0.1,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.1,2.0,3.0,5,true,15,1,0.75,1.0,false,2,3,false,1.0,false,false,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.1,3.0,3.0,IGNORED,false,10,0,0.75,2.0,false,2,2,true,0.5,true,true,false,"['obstacle_layer', 'static_layer', 'inflation_layer']"
5.0,0.1,1.0,2.0,5,true,5,1,0.25,2.0,true,2,2,false,0.1,false,false,false,"['obstacle_layer', 'static_layer', 'inflation_layer']"
5.0,0.1,1.0,1.0,15,true,15,0,0.5,1.0,true,3,3,false,0.5,true,false,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.2,1.0,3.0,10,true,5,2,0.75,1.0,false,2,3,false,1.0,true,true,false,"['obstacle_layer', 'static_layer', 'inflation_layer']"
10.0,0.1,2.0,2.0,5,true,10,1,0.5,3.0,true,1,1,true,1.0,false,true,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.2,3.0,1.0,10,true,15,2,0.25,3.0,false,2,2,true,0.5,true,true,false,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.1,2.0,2.0,15,true,10,0,0.25,2.0,false,1,2,false,0.5,false,false,false,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.1,2.0,1.0,15,true,5,2,0.5,1.0,false,3,1,false,0.1,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.2,3.0,2.0,10,true,5,1,0.75,3.0,false,1,3,true,0.1,true,true,false,"['static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.1,3.0,1.0,5,true,10,2,0.5,1.0,true,3,2,true,0.1,false,false,false,"['obstacle_layer', 'static_layer', 'inflation_layer']"
10.0,0.2,2.0,3.0,IGNORED,false,10,2,0.75,1.0,true,1,2,false,0.1,false,true,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
10.0,0.1,1.0,1.0,IGNORED,false,10,1,0.75,3.0,true,1,1,true,0.5,false,false,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
1.0,0.1,3.0,2.0,IGNORED,false,10,2,0.5,1.0,false,3,2,true,0.5,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,2.0,2.0,10,true,5,2,0.5,1.0,true,2,1,true,0.5,false,true,false,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.2,1.0,2.0,IGNORED,false,15,2,0.5,2.0,true,3,2,false,0.5,true,false,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.1,2.0,3.0,IGNORED,false,5,0,0.25,3.0,false,3,2,true,1.0,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.1,2.0,2.0,IGNORED,false,5,0,0.75,2.0,true,3,1,false,1.0,false,false,false,"['static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.1,2.0,2.0,IGNORED,false,15,2,0.25,2.0,true,1,3,false,0.1,true,false,false,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.2,2.0,2.0,IGNORED,false,10,1,0.25,2.0,true,2,2,true,1.0,true,true,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,3.0,2.0,IGNORED,false,5,1,0.5,1.0,true,1,3,true,0.5,true,true,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
10.0,0.1,1.0,1.0,IGNORED,false,10,0,0.25,1.0,true,2,3,true,0.5,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.1,2.0,3.0,IGNORED,false,15,0,0.5,1.0,true,1,3,true,0.1,false,false,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
1.0,0.1,1.0,1.0,IGNORED,false,5,1,0.75,3.0,false,1,3,true,0.1,true,true,false,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,1.0,3.0,IGNORED,false,15,1,0.25,3.0,true,2,3,true,0.1,true,true,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,3.0,3.0,IGNORED,false,5,2,0.5,3.0,true,3,3,false,1.0,true,false,false,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,2.0,1.0,IGNORED,false,15,1,0.5,3.0,true,1,2,false,0.1,false,true,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
5.0,0.1,1.0,1.0,IGNORED,false,15,0,0.75,2.0,true,3,1,false,1.0,false,true,false,"['static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.1,2.0,3.0,15,true,15,0,0.25,3.0,true,1,1,false,0.5,true,true,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
10.0,0.2,2.0,3.0,IGNORED,false,5,0,0.5,2.0,true,2,1,true,0.5,true,false,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
10.0,0.1,3.0,2.0,IGNORED,false,10,0,0.25,2.0,true,3,1,false,1.0,true,true,false,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,3.0,1.0,IGNORED,false,10,0,0.75,3.0,true,3,2,true,1.0,false,false,false,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,1.0,2.0,IGNORED,false,10,0,0.75,1.0,true,1,1,false,1.0,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.1,3.0,1.0,10,true,5,2,0.5,2.0,true,2,3,true,1.0,false,true,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.1,2.0,2.0,IGNORED,false,15,0,0.5,3.0,true,2,2,true,1.0,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.1,3.0,3.0,IGNORED,false,5,0,0.5,1.0,true,3,3,true,0.1,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.1,1.0,3.0,IGNORED,false,10,0,0.5,3.0,true,3,2,true,1.0,true,true,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,3.0,3.0,IGNORED,false,10,2,0.25,2.0,true,3,3,true,0.5,false,true,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,2.0,2.0,IGNORED,false,15,0,0.5,3.0,true,2,2,true,1.0,true,true,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
10.0,0.1,2.0,2.0,IGNORED,false,10,0,0.25,1.0,false,3,1,true,1.0,true,true,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.2,1.0,2.0,IGNORED,false,10,2,0.25,2.0,false,1,1,true,1.0,false,true,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
1.0,0.1,1.0,1.0,IGNORED,false,15,1,0.5,3.0,false,3,1,true,0.5,true,false,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.1,2.0,2.0,IGNORED,false,10,2,0.75,2.0,false,3,3,true,1.0,true,true,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
5.0,0.1,2.0,1.0,IGNORED,false,15,0,0.75,2.0,false,1,2,true,0.5,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.1,2.0,2.0,IGNORED,false,10,2,0.25,3.0,false,2,1,true,0.1,true,true,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,3.0,2.0,IGNORED,false,10,1,0.5,2.0,false,2,3,true,0.1,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
5.0,0.2,2.0,2.0,IGNORED,false,5,2,0.75,2.0,false,3,2,false,0.5,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.1,2.0,2.0,IGNORED,false,10,0,0.75,2.0,false,3,2,true,0.1,true,true,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
10.0,0.2,2.0,2.0,IGNORED,false,15,0,0.5,2.0,false,3,3,true,0.5,true,true,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,3.0,1.0,IGNORED,false,10,1,0.75,1.0,false,3,1,true,0.1,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,2.0,3.0,IGNORED,false,5,0,0.5,2.0,false,1,1,false,0.1,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.2,2.0,2.0,IGNORED,false,5,2,0.5,3.0,false,1,3,false,0.5,true,true,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
5.0,0.2,2.0,2.0,IGNORED,false,10,1,0.5,2.0,false,3,1,false,0.5,true,true,true,"['obstacle_layer', 'static_layer', 'inflation_layer']"
10.0,0.1,1.0,2.0,IGNORED,false,5,1,0.5,2.0,false,1,2,false,1.0,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,2.0,2.0,15,true,15,0,0.5,2.0,false,3,2,false,0.1,true,true,true,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,2.0,2.0,IGNORED,false,10,0,0.5,2.0,false,3,3,false,1.0,true,true,true,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
1.0,0.2,3.0,1.0,IGNORED,false,5,0,0.75,2.0,false,3,3,false,0.1,false,false,false,"['obstacle_layer', 'static_layer', 'inflation_layer']"
1.0,0.1,3.0,3.0,IGNORED,false,15,2,0.5,2.0,false,3,2,false,0.1,false,false,false,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.2,3.0,3.0,IGNORED,false,10,1,0.25,1.0,false,2,3,false,1.0,false,false,false,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,2.0,1.0,IGNORED,false,10,0,0.5,2.0,false,3,3,false,0.1,false,false,false,"['static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,1.0,2.0,IGNORED,false,10,0,0.25,1.0,false,3,3,false,0.1,false,false,false,"['obstacle_layer', 'static_layer', 'inflation_layer']"
10.0,0.1,1.0,2.0,IGNORED,false,10,0,0.75,3.0,false,3,3,false,0.1,false,false,false,"['voxel_layer', 'static_layer', 'obstacle_layer', 'inflation_layer']"
10.0,0.1,2.0,2.0,IGNORED,false,10,0,0.5,3.0,false,3,3,false,0.1,false,false,false,"['obstacle_layer', 'static_layer', 'inflation_layer']"
